relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
5690,2.9041666984558105,1.0319008827209473,10.448296546936035,,287.8743430062567,45.547864882868346
5750,,1.9105730056762695,,1005.0615234375,,
5751,3.3949780464172363,,9.639056205749512,,292.885768913511,44.01620399205849
5810,2.389413356781006,2.8227639198303223,8.291120529174805,,306.5272925163327,42.507363305507276
5870,,3.665522813796997,7.850587368011475,,,
5871,2.1739351749420166,,,,314.1477072525592,40.787908572564476
5931,,3.780444383621216,7.429207801818848,1005.029296875,340.15857708377433,
5932,0.3734954595565796,,,,,39.23917203000526
5990,,3.8810009956359863,7.046135425567627,,,
5991,-0.7757213711738586,,,,359.3115583930454,37.99786119744298
6050,-1.3934253454208374,3.179499864578247,7.90086555480957,,358.8230486960933,38.07514137739759
6112,-2.492363929748535,1.9800047874450684,8.674192428588867,1005.025634765625,176.1460571093983,38.79184347541308
6171,,1.0247182846069336,9.255983352661133,,,
6172,-3.1268274784088135,,,,191.63669756302113,40.313124580122484
6231,-2.8826189041137695,0.524330198764801,9.378087997436523,,215.40953979946568,42.50854786219884
6292,-2.3511061668395996,-1.1516109704971313,10.273519515991211,1005.042724609375,222.48397653419806,44.51057668683858
6351,-1.8411411046981812,-0.9409212470054626,11.868058204650879,,242.44534098734374,46.05585333105153
6411,,-0.12210428714752197,,,,
6412,,,8.674192428588867,,,
6425,-0.016759412363171577,,,,264.6463449599041,47.3219343144561
6472,,-0.4644751250743866,,1005.0654296875,,
6473,-0.05985504388809204,,9.84495735168457,,267.70671367036584,47.536548646573934
6545,0.4165911078453064,-0.1364694982767105,9.418789863586426,,275.1703072632489,47.24667354098091
6592,0.8762778043746948,-0.1843535304069519,10.18493366241455,,277.0236790945319,47.32539597980707
6653,1.7286136150360107,0.35434186458587646,8.98543930053711,1005.067138671875,282.18037629524315,46.580909835337046
6714,,0.7398083209991455,,,,
6715,2.0925323963165283,,9.80904483795166,,283.8301538477464,46.04518291522804
6772,1.5418659448623657,0.48602294921875,9.66299819946289,,281.978776431701,45.3149778443945
6835,0.016759412363171577,0.751779317855835,10.429142951965332,1005.0458984375,293.8571857380269,44.528164297072536
6898,-0.43095630407333374,0.4812345504760742,7.989450931549072,,292.95514314491083,44.80011421565418
6954,-2.0638017654418945,0.22744916379451752,9.988609313964844,,28.5155906998653,45.26291021114072
7015,,0.2777273952960968,9.47146224975586,1005.046630859375,,
7016,-1.7070658206939697,,,,281.1546389762581,45.960155953601486
7075,-2.367865562438965,0.5913678407669067,8.944737434387207,,318.81057836118396,46.63146549664801
7136,-1.0558429956436157,0.19393034279346466,10.019734382629395,,274.36062248808975,46.61814424311625
7201,-0.047884032130241394,0.44771572947502136,9.409213066101074,1005.083984375,277.03117864224055,46.904842266437306
7224,-0.14604631066322327,0.3016694188117981,9.454702377319336,,275.92474946840105,
7242,-0.6129156351089478,0.10055647045373917,9.672574996948242,,273.5712506955222,
7259,-1.3455413579940796,0.0454898327589035,9.93593692779541,,273.3500891701972,47.08169060282979
7275,-1.9776105880737305,0.023942016065120697,10.170568466186523,,270.83117004580987,
7297,-2.8227639198303223,-0.043095629662275314,10.17296314239502,,269.0471314647917,
7318,-3.471592426300049,-0.038307227194309235,10.218452453613281,,268.8168584671139,47.35779143048781
7335,-3.5194764137268066,0.16998831927776337,9.531316757202148,,282.1379744808757,
7355,-3.1938650608062744,0.28969839215278625,9.17697525024414,,287.1235959334456,
7381,-2.6647465229034424,0.2346317619085312,9.399636268615723,1005.09521484375,278.7296212925801,47.97043998404656
7396,-1.9584569931030273,0.19153612852096558,9.378087997436523,,277.2506736014081,
7415,-1.2425906658172607,0.2801215946674347,9.5624418258667,,277.0231668303441,
7436,-0.2849099934101105,0.06703764945268631,9.478644371032715,,272.1156212701766,47.949197418960466
7456,0.26096799969673157,0.031124621629714966,9.205705642700195,,272.2264957309734,
7476,0.7398083209991455,-0.08140286058187485,9.488221168518066,,270.75095630419725,
7497,,-0.07182604819536209,9.576807022094727,,270.8576575194112,
7498,0.8092401623725891,,,,,47.9499092302667
7516,0.7134721279144287,-0.028730420395731926,9.555258750915527,,272.8932724581284,
7536,-0.2082955539226532,0.1364694982767105,9.706093788146973,,275.88929395641946,
7557,,0.18914192914962769,9.63187313079834,1005.080078125,,
7558,-1.2713210582733154,,,,279.2170509125089,47.771079524704994
7576,-2.609679937362671,0.2298433631658554,9.536105155944824,,288.1349078929036,
7600,-3.773261785507202,0.19153612852096558,9.488221168518066,,325.55615856285317,
7617,-3.73016619682312,0.28969839215278625,9.191340446472168,,337.6027407869231,47.8543143762329
7636,-2.849100112915039,0.4165911078453064,9.461885452270508,,300.6992252862496,
7656,-1.6735470294952393,0.40940847992897034,9.612719535827637,,286.0622050269932,
